Arizona,1,http://kirkpatrick.house.gov,202-225-3361,Ann Kirkpatrick,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ann_Kirkpatrick.jpg/75px-Ann_Kirkpatrick.jpg,Democratic,,,11,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,2,https://mcsally.house.gov/,202-225-2542,Martha McSally,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Martha_McSally_official_congressional_photo.jpg/75px-Martha_McSally_official_congressional_photo.jpg,Republican,,,12,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,3,https://grijalva.house.gov/,202-225-2435,Raúl Grijalva,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ra%C3%BAl_Grijalva.jpg/75px-Ra%C3%BAl_Grijalva.jpg,Democratic,,,13,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,4,http://gosar.house.gov/,202-225-2315,Paul Gosar,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Paul_Gosar_Official_Portrait_c._2012.jpg/75px-Paul_Gosar_Official_Portrait_c._2012.jpg,Republican,,,14,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,5,http://salmon.house.gov,202-225-2635,Matt Salmon,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Matt_Salmon%2C_official_portrait%2C_113th_Congress.jpg/75px-Matt_Salmon%2C_official_portrait%2C_113th_Congress.jpg,Republican,,,15,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,6,https://schweikert.house.gov/,202-225-2190,David Schweikert,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/David_Schweikert%2C_Official_Portrait%2C_112th_Congress_2.jpg/75px-David_Schweikert%2C_Official_Portrait%2C_112th_Congress_2.jpg,Republican,,,16,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,7,https://rubengallego.house.gov/,202-225-4065,Ruben Gallego,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ruben_Gallego.jpg/75px-Ruben_Gallego.jpg,Democratic,,,17,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,8,https://franks.house.gov,202-225-4576,Trent Franks,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Trent_Franks%2C_official_portrait%2C_114th_Congress.jpg/75px-Trent_Franks%2C_official_portrait%2C_114th_Congress.jpg,Republican,,,18,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,9,https://sinema.house.gov/,202-225-9888,Kyrsten Sinema,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Kyrsten_Sinema_113th_Congress.jpg/75px-Kyrsten_Sinema_113th_Congress.jpg,Democratic,,,19,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arkansas,1,http://crawford.house.gov/,202-225-4076,Rick Crawford,//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rick_Crawford%2C_Official_Portrait%2C_112th_Congress.jpg/75px-Rick_Crawford%2C_Official_Portrait%2C_112th_Congress.jpg,Republican,,,20,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arkansas,2,https://hill.house.gov/,202-225-2506,French Hill,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/French_Hill_official_photo.jpg/75px-French_Hill_official_photo.jpg,Republican,,,21,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arkansas,3,http://womack.house.gov/,202-225-4301,Steve Womack,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Steve_Womack%2C_Official_Portrait%2C_112th_Congress_-_Hi_Res.jpg/75px-Steve_Womack%2C_Official_Portrait%2C_112th_Congress_-_Hi_Res.jpg,Republican,,,22,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arkansas,4,https://westerman.house.gov/,202-225-3772,Bruce Westerman,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bruce_Westerman_official_congressional_photo.jpg/75px-Bruce_Westerman_official_congressional_photo.jpg,Republican,,,23,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,1,http://lamalfa.house.gov,202-225-3076,Doug LaMalfa,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Doug_LaMalfa_113th_Congress_official_photo.jpg/75px-Doug_LaMalfa_113th_Congress_official_photo.jpg,Republican,,,24,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,2,http://huffman.house.gov,202-225-5161,Jared Huffman,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Jared_Huffman%2C_Official_portrait%2C_113th_Congress.jpg/75px-Jared_Huffman%2C_Official_portrait%2C_113th_Congress.jpg,Democratic,,,25,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
